CNPJ, NOME, EMISSAO, NUMERO, VALOR, CHAVE
05300331000241,Dairy Partners Americas Brasil Ltda,2015-02-26,282367,40342.63,NFe35150205300331000241550010002823671142513960
05300331000241,Dairy Partners Americas Brasil Ltda,2015-02-28,283635,79662.71,NFe35150205300331000241550010002836351117456611
05300331000241,Dairy Partners Americas Brasil Ltda,2015-02-28,283636,39747.8,NFe35150205300331000241550010002836361947440472
05300331000241,Dairy Partners Americas Brasil Ltda,2015-02-28,283637,7048.76,NFe35150205300331000241550010002836371690921721
05300331000241,Dairy Partners Americas Brasil Ltda,2015-02-28,283638,3373.05,NFe35150205300331000241550010002836381722450572
67795914000248,COM E IND DE MASSAS MASSA LEVE,2015-02-26,562220,8227.69,NFe35150267795914000248550010005622201255364837
05300331000241,Dairy Partners Americas Brasil Ltda,2015-03-07,286908,11596.57,NFe35150305300331000241550010002869081669958346
05300331000241,Dairy Partners Americas Brasil Ltda,2015-03-07,286909,37799.98,NFe35150305300331000241550010002869091012913633
05300331000241,Dairy Partners Americas Brasil Ltda,2015-03-07,286910,17258.38,NFe35150305300331000241550010002869101100110428
05300331000241,Dairy Partners Americas Brasil Ltda,2015-03-14,290216,76996.59,NFe35150305300331000241550010002902161252914092
05300331000241,Dairy Partners Americas Brasil Ltda,2015-03-14,290217,43586.75,NFe35150305300331000241550010002902171371339587
05300331000241,Dairy Partners Americas Brasil Ltda,2015-03-14,290218,5115.99,NFe35150305300331000241550010002902181524904185
05300331000241,Dairy Partners Americas Brasil Ltda,2015-03-14,290219,3794.7,NFe35150305300331000241550010002902191576521659
05300331000241,Dairy Partners Americas Brasil Ltda,2015-03-25,295637,58512.84,NFe35150305300331000241550010002956371218110380
05300331000241,Dairy Partners Americas Brasil Ltda,2015-03-25,295638,11210.74,NFe35150305300331000241550010002956381046574410
05300331000241,Dairy Partners Americas Brasil Ltda,2015-03-25,295639,2108.17,NFe35150305300331000241550010002956391504229827
05300331000241,Dairy Partners Americas Brasil Ltda,2015-03-25,295640,3865.53,NFe35150305300331000241550010002956401171263628
05300331000241,Dairy Partners Americas Brasil Ltda,2015-03-28,297105,99070.87,NFe35150305300331000241550010002971051186090964
05300331000241,Dairy Partners Americas Brasil Ltda,2015-03-28,297106,32006.56,NFe35150305300331000241550010002971061107835586
05300331000241,Dairy Partners Americas Brasil Ltda,2015-03-28,297107,6082.38,NFe35150305300331000241550010002971071442425286
05300331000241,Dairy Partners Americas Brasil Ltda,2015-03-28,297108,4637.96,NFe35150305300331000241550010002971081663980450
05300331000241,Dairy Partners Americas Brasil Ltda,2015-03-31,298656,3865.53,NFe35150305300331000241550010002986561463451533
05300331000241,Dairy Partners Americas Brasil Ltda,2015-03-31,298667,5481.24,NFe35150305300331000241550010002986671026553898
05300331000241,Dairy Partners Americas Brasil Ltda,2015-03-31,298740,106574.43,NFe35150305300331000241550010002987401900236761
05300331000241,Dairy Partners Americas Brasil Ltda,2015-03-31,298741,28670.5,NFe35150305300331000241550010002987411834390718
05300331000241,Dairy Partners Americas Brasil Ltda,2015-04-11,303097,74368.01,NFe35150405300331000241550010003030971684208799
05300331000241,Dairy Partners Americas Brasil Ltda,2015-04-11,303098,42752.98,NFe35150405300331000241550010003030981935968753
05300331000241,Dairy Partners Americas Brasil Ltda,2015-04-11,303099,6082.38,NFe35150405300331000241550010003030991632948303
05300331000241,Dairy Partners Americas Brasil Ltda,2015-04-11,303100,4216.34,NFe35150405300331000241550010003031001053451205
05300331000241,Dairy Partners Americas Brasil Ltda,2015-04-25,310104,1686.54,NFe35150405300331000241550010003101041641853702
